,subject,video_id,length
0,4,4_1a,202
1,1,1_2b,93
2,6,6_2a,199
3,4,4_2a,202
4,1,1_1a_3,195
5,5,5_1b,157
6,1,1_2a,266
7,6,6_2b,155
8,1,1_1b,97
9,2,2_2a,266
10,2,2_1a,266
11,4,4_1c,197
12,2,2_2b,95
13,4,4_1d,166
14,2,2_1b,108
15,5,5_2a,201
16,3,3_1a,201
17,3,3_1c,198
18,4,4_2b,162
19,5,5_2b,156
20,5,5_1a,202
21,1,1_1a_1,45
22,4,4_1b,161
23,1,1_1a_2,26
24,3,3_1d,170
25,3,3_1b,162
26,4,4_3a,173
27,5,5_3b,59
28,2,2_4,143
29,6,6_6a_1,89
30,2,2_3b_2,23
31,3,3_5b,35
32,5,5_4a,171
33,2,2_3b_1,23
34,1,1_4,179
35,3,3_3a,144
36,5,5_5b_1,53
37,1,1_5_1,100
38,6,6_6a_2,39
39,5,5_5a,166
40,6,6_4a,183
41,4,4_4a,94
42,5,5_5b_2,83
43,1,1_3b,47
44,1,1_3a_2,89
45,2,2_3a_1,167
46,1,1_3a_1,233
47,3,3_3b,75
48,1,1_5_2,53
49,3,3_4a,101
50,2,2_3a_2,113
0,N,N_20181206_IND0_STA_2,61
1,J,J_20190329_IND4_STA_2,50
2,K,K_20181209_IND5_STA_2,61
3,K,K_20181208_IND'_STA_1,66
4,I,I_20190331_IND4_STA_1,60
5,J,J_20190330_IND6_STA_1,62
6,B,B_20181103_IND'_STA_1,66
7,J,J_20190329_IND'_STA_1,62
8,N,N_20181207_IND'_STA_1,68
9,N,N_20181207_IND2_STA_1,66
10,H,H_20190105_IND3_STA_2,61
11,N,N_20181208_IND4_STA_1,65
12,H,H_20190103_IND0_STA_1,144
13,B,B_20181102_IND0_STA_2,61
14,H,H_20190106_IND5_STA_2,63
15,H,H_20190103_IND0_STA_2(2),102
16,H,H_20190106_IND4_STA_1,60
17,N,N_20181207_IND3_STA_2,61
18,S,S_20181104_IND3_STA_1,60
19,J,J_20190330_IND5_STA_2,60
20,N,N_20181207_IND1_STA_1,83
21,S,S_20181105_IND4_STA_1,60
22,S,S_20181104_IND1_STA_2(2),9
23,A,A_20190105_IND6_STA_1,60
24,A,A_20190103_IND0_STA_1(2),37
25,H,H_20190106_IND4_STA_2,72
26,J,J_20190330_IND5_STA_1,60
27,S,S_20181104_IND3_STA_2(2),4
28,I,I_20190331_IND5_STA_2,62
29,N,N_20181207_IND1_STA_2,60
30,J,J_20190330_IND6_STA_2,60
31,S,S_20181104_IND1_STA_2,66
32,H,H_20190105_IND'_STA_1,96
33,J,J_20190329_IND4_STA_1,60
34,K,K_20181206_IND0_STA_2,61
35,J,J_20190329_IND1_STA_1,62
36,I,I_20190331_IND5_STA_1,66
37,J,J_20190329_IND3_STA_2,68
38,A,A_20190103_IND0_STA_1,46
39,B,B_20181105_IND6_STA_1,60
40,H,H_20190107_IND6_STA_1,72
41,I,I_20190328_IND0_STA_2,60
42,B,B_20181102_IND0_STA_1,60
43,J,J_20190328_IND0_STA_2,62
44,S,S_20181104_IND'_STA_1,65
45,S,S_20181104_IND3_STA_2,66
46,S,S_20181104_IND1_STA_1,60
47,K,K_20181208_IND4_STA_2,72
48,J,J_20190328_IND0_STA_1,63
49,N,N_20181206_IND0_STA_1,61
50,H,H_20190103_IND0_STA_2,27
51,H,H_20190105_IND3_STA_1,62
52,K,K_20181208_IND2_STA_1,62
53,K,K_20181209_IND5_STA_1,65
54,B,B_20181104_IND4_STA_1,60
55,B,B_20181104_IND5_STA_2,66
56,K,K_20181206_IND0_STA_1,63
57,J,J_20190329_IND2_STA_1,62
58,K,K_20181208_IND4_STA_1,63
59,I,I_20190331_IND4_STA_2,61
60,N,N_20181207_IND2_STA_2,60
61,B,B_20181103_IND1_STA_1,66
62,B,B_20181103_IND3_STA_1,62
63,A,A_20190104_IND3_STA_1,61
64,J,J_20190331_IND7_STA_1,64
65,K,K_20181208_IND1_STA_2,60
66,B,B_20181103_IND2_STA_1(2),62
67,I,I_20190328_IND0_STA_1,62
68,I,I_20190330_IND3_STA_1,60
69,N,N_20181207_IND3'_STA_1,60
70,N,N_20181207_IND3_STA_1,61
71,S,S_20181102_IND0_STA_1,60
72,H,H_20190105_IND1_STA_1,82
73,I,I_20190330_IND2_STA_1,60
74,I,I_20190330_IND2_STA_2,60
75,A,A_20190103_IND0_STA_2,63
76,B,B_20181103_IND2_STA_2,66
77,H,H_20190105_IND2_STA_1,64
78,I,I_20190330_IND1_STA_2,66
79,K,K_20181208_IND3_STA_1,62
80,H,H_20190105_IND2_STA_2,66
81,I,I_20190330_IND3_STA_2,26
82,K,K_20181208_IND3_STA_2,65
83,A,A_20190104_IND2_STA_2,61
84,K,K_20181208_IND2_STA_2,60
85,S,S_20181102_IND0_STA_2,62
86,I,I_20190330_IND2_STA_1 (2),60
87,B,B_20181103_IND2'_STA_1,61
88,I,I_20190330_IND'_STA_1,71
89,I,I_20190330_IND1_STA_1,61
90,J,J_20190329_IND1_STA_2,61
91,J,J_20190329_IND3_STA_1,62
92,K,K_20181208_IND1_STA_1,63
93,A,A_20190104_IND4_STA_1,60
94,A,A_20190104_IND3_STA_2,60
95,A,A_20190105_IND5_STA_1,60
96,B,B_20181103_IND2_STA_1,61
97,H,H_20190106_IND5_STA_1,60
98,B,B_20181103_IND1_STA_2,66
99,J,J_20190329_IND2_STA_2,61
